[0.284s][info][jfr,startup] Started recording 1. No limit specified, using maxsize=250MB as default.
[0.284s][info][jfr,startup] 
[0.284s][info][jfr,startup] Use jcmd 4572 JFR.dump name=1 to copy recording data to file.
iteration=1 elapsed_ms=49.261
iteration=2 elapsed_ms=36.803
iteration=3 elapsed_ms=39.004
iteration=4 elapsed_ms=34.968
iteration=5 elapsed_ms=37.259
iteration=6 elapsed_ms=38.470
iteration=7 elapsed_ms=36.000
iteration=8 elapsed_ms=36.361
iteration=9 elapsed_ms=37.319
iteration=10 elapsed_ms=35.933
iteration=11 elapsed_ms=36.563
iteration=12 elapsed_ms=33.180
iteration=13 elapsed_ms=35.232
iteration=14 elapsed_ms=34.738
iteration=15 elapsed_ms=33.650
iteration=16 elapsed_ms=34.237
iteration=17 elapsed_ms=31.825
iteration=18 elapsed_ms=30.575
iteration=19 elapsed_ms=33.532
iteration=20 elapsed_ms=33.925
iteration=21 elapsed_ms=33.088
iteration=22 elapsed_ms=30.184
iteration=23 elapsed_ms=33.919
iteration=24 elapsed_ms=32.605
iteration=25 elapsed_ms=30.346
iteration=26 elapsed_ms=33.967
iteration=27 elapsed_ms=30.249
iteration=28 elapsed_ms=31.139
iteration=29 elapsed_ms=32.509
iteration=30 elapsed_ms=30.760
summary warmups=10 iterations=30 count=10000 range=10 median_ms=33.946 average_ms=34.587 min_ms=30.184 max_ms=49.261
